Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date,Month
南方莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,3108,0.66,5566,11332849,14148674,30219651,3646.29,2036,2/1/2019,Feb-19
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,7140,0.75,3058,16396241,15112959,33393281,2295.95,5361,2/1/2019,Feb-19
台中港酒店,Taichung,200,5600,0.54,3072,9293251,2314686,12590178,1659.49,3025,2/1/2019,Feb-19
台中福華大飯店,Taichung,155,4340,0.56,3542,8575442,13734689,25173656,1975.73,2421,2/1/2019,Feb-19
台中金典酒店,Taichung,222,6216,0.73,3561,16082545,21135979,49813987,2587.07,4516,2/1/2019,Feb-19
台北W飯店,Taipei,405,11340,0.69,8770,69110599,40223633,125456712,6094.27,7880,2/1/2019,Feb-19
台北中山雅樂軒酒店,Taipei,88,2464,0.69,4086,6937992,537080,8324017,2815.66,1698,2/1/2019,Feb-19
台北凱撒大飯店,Taipei,478,13384,0.87,3545,41406394,22609524,68799740,3093.37,11679,2/1/2019,Feb-19
台北君品大酒店,Taipei,286,8008,0.79,4925,31211666,50352692,85644142,3898.14,6338,2/1/2019,Feb-19
台北君悅酒店,Taipei,850,23800,0.64,5900,89621179,88011793,200654919,3765.38,15190,2/1/2019,Feb-19
台北寒舍喜來登大飯店,Taipei,688,19264,0.74,4682,66709242,107920891,195487130,3463.28,14249,2/1/2019,Feb-19
台北寒舍艾美酒店,Taipei,160,4480,0.77,8797,30339491,55916262,101162271,6772.81,3449,2/1/2019,Feb-19
台北有園飯店,Taipei,56,1568,0.79,2601,3201268,296029,3544353,2042.05,1231,2/1/2019,Feb-19
台北美福⼤飯店,Taipei,146,4088,0.55,6498,14535043,51027946,70483231,3555.71,2237,2/1/2019,Feb-19
台北花園⼤酒店,Taipei,241,6748,0.93,2428,15236822,22113461,40740489,2257.8,6275,2/1/2019,Feb-19
台北華國⼤飯店,Taipei,326,9128,0.8,2673,19490615,11199940,34808587,2135.73,7293,2/1/2019,Feb-19
台北萬豪酒店,Taipei,318,8904,0.69,5309,32452471,55729987,108448706,3644.63,6113,2/1/2019,Feb-19
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,14448,0.66,2725,25892680,10194250,40526069,1792.23,9502,2/1/2019,Feb-19
台南大員皇冠假日酒店,Others,231,6468,0.55,4213,14975438,14629668,32410434,2315.46,3555,2/1/2019,Feb-19
台南⼤飯店,Others,152,4256,0.59,2626,6622201,12606257,20563127,1556.17,2522,2/1/2019,Feb-19
台東桂⽥喜來登酒店,Others,290,8120,0.42,4718,15980744,10835712,27651014,1967.88,3387,2/1/2019,Feb-19
台糖⻑榮酒店(台南),Others,197,5516,0.79,3407,14813614,20952735,37500808,2685.74,4348,2/1/2019,Feb-19
合尊酒店 S Hotel,Taipei,101,2828,0.73,3940,8162767,3448311,12842486,2886.84,2072,2/1/2019,Feb-19
名都觀光渡假大飯店,Scenery,99,2772,0.56,1305,2023713,2935911,5026740,730.15,1551,2/1/2019,Feb-19
君鴻國際酒店,Kaohsiung,585,16380,0.64,2820,29666713,24152246,64773760,1811,10520,2/1/2019,Feb-19
和昇帝景飯店,Others,60,1680,0.46,2542,1960237,3000,1963237,1166.52,771,2/1/2019,Feb-19
國王大飯店,Taipei,97,2716,0.7,1498,2848304,808237,3742937,1049.05,1902,2/1/2019,Feb-19
國聯⼤飯店,Taipei,243,6804,0.52,2264,8065985,1584030,10676735,1185.66,3563,2/1/2019,Feb-19
國賓大飯店,Taipei,422,11816,0.7,3460,28776666,86621613,123207387,2435.84,8318,2/1/2019,Feb-19
圓山大飯店,Taipei,500,14000,0.84,4271,50389369,57980978,117971425,3598.74,11797,2/1/2019,Feb-19
墾丁怡灣渡假酒店,Scenery,175,4900,0.26,4390,5641774,920837,6724868,1151.06,1285,2/1/2019,Feb-19
墾丁福華渡假飯店,Scenery,458,12824,0.68,3829,33325067,9759382,45938393,2598.74,8704,2/1/2019,Feb-19
大億麗緻酒店,Others,315,8820,0.65,4310,24671427,27137871,56509887,2797.19,5724,2/1/2019,Feb-19
大板根渡假酒店,Others,95,2660,0.87,5605,12992702,14919393,43773989,4884.2,2318,2/1/2019,Feb-19
天成大飯店,Taipei,225,6300,0.97,3070,18705057,27406148,48928139,2968.69,6092,2/1/2019,Feb-19
太魯閣晶英酒店,Scenery,160,4480,0.63,8481,24103820,7836731,35510674,5380.35,2842,2/1/2019,Feb-19
娜路彎⼤酒店,Others,276,7728,0.56,5590,24321330,12605468,41256107,3147.17,4351,2/1/2019,Feb-19
寒舍艾麗酒店,Taipei,234,6552,0.78,6386,32784291,19871379,58073536,5004.07,5134,2/1/2019,Feb-19
寒軒國際大飯店,Kaohsiung,380,10640,0.73,2405,18749025,21061241,40940265,1762.14,7796,2/1/2019,Feb-19
寶華大飯店,Others,78,2184,0,3650,7300,0,9300,3.28,2,2/1/2019,Feb-19
尊爵大飯店,Taoyuan-Hsinchu-Miaoli,231,6468,0.82,2236,11854154,11726935,25176541,1832.63,5301,2/1/2019,Feb-19
尊爵天際⼤飯店,Taoyuan-Hsinchu-Miaoli,250,7000,0.77,2175,11690899,22595589,35100584,1669.75,5374,2/1/2019,Feb-19
山泉大飯店,Others,167,4676,0.56,2232,5874625,256420,6453732,1256.39,2632,2/1/2019,Feb-19
幼獅大飯店,Others,55,1540,0.21,2261,723560,0,759760,469.84,320,2/1/2019,Feb-19
康華⼤飯店,Taipei,215,6020,0.59,2495,8933224,14653264,24504867,1483.78,3580,2/1/2019,Feb-19
悅川酒店,Others,103,2884,0.65,3339,6298056,7054549,13895071,2183.71,1886,2/1/2019,Feb-19
慶泰大飯店,Taipei,150,4200,0.73,2744,8355311,7404888,16330758,1989.4,3045,2/1/2019,Feb-19
新⽵喜來登⼤飯店,Taoyuan-Hsinchu-Miaoli,386,10808,0.77,3930,32743537,35304654,77296388,3029.64,8332,2/1/2019,Feb-19
新竹國賓大飯店,Taoyuan-Hsinchu-Miaoli,257,7196,0.78,3049,17029151,33978296,55794617,2366.94,5586,2/1/2019,Feb-19
新竹老爺大酒店,Taoyuan-Hsinchu-Miaoli,208,5824,0.59,3246,11174562,12294782,24591905,1919.04,3443,2/1/2019,Feb-19
日勝生加賀屋國際溫泉飯店,Taipei,90,2520,0.73,8978,16500904,12523356,37735120,6548.55,1838,2/1/2019,Feb-19
⽇⽉⾏館,Scenery,92,2576,0.29,13361,9953856,2159772,12498633,3864,745,2/1/2019,Feb-19
晶悅國際飯店,Taoyuan-Hsinchu-Miaoli,388,10864,0.64,1668,11665093,5139839,17466372,1073.52,6992,2/1/2019,Feb-19
晶英國際⾏館,Kaohsiung,147,4116,0.33,6900,9287785,12054769,23942454,2256.3,1346,2/1/2019,Feb-19
晶華酒店,Taipei,538,15064,0.8,5159,61955928,131291779,242352670,4113.27,12010,2/1/2019,Feb-19
東⽅渡假酒店,Scenery,112,3136,0.45,3228,4519240,4003060,8522300,1440.98,1400,2/1/2019,Feb-19
板橋凱撒大飯店,Others,400,11200,0.59,3800,25099286,16369993,42821434,2240.86,6605,2/1/2019,Feb-19
桃園喜來登酒店(原桃禧航空城酒店 ~03/2019),Taoyuan-Hsinchu-Miaoli,187,5236,0.62,2455,7960640,9101049,18370642,1520.63,3243,2/1/2019,Feb-19
歐華酒店,Taipei,112,3136,0.53,3078,5102555,4915361,11036787,1627.34,1658,2/1/2019,Feb-19
洛碁⼤飯店花華本館,Taipei,112,3136,0.81,1909,4832336,0,4832336,1540.75,2531,2/1/2019,Feb-19
海灣藝術酒店,Taichung,228,6384,0.24,2259,3514908,997436,4611909,550.52,1556,2/1/2019,Feb-19
涵碧樓⼤飯店,Scenery,96,2688,0.85,15343,35058098,3870922,42871994,13043.08,2285,2/1/2019,Feb-19
漢來⼤飯店,Kaohsiung,535,14980,0.69,3611,37322192,76196057,147597319,2491.23,10335,2/1/2019,Feb-19
澎湖福朋喜來登酒店,Others,331,9268,0.13,2265,2747275,6849556,10995218,296.49,1213,2/1/2019,Feb-19
瑞穗天合國際觀光酒店,Hualien,198,5544,0.27,9670,14215399,6282870,23048683,2564.48,1470,2/1/2019,Feb-19
瓏⼭林台北中和飯店,Others,126,3528,0.31,2860,3086185,4011308,8371264,874.59,1079,2/1/2019,Feb-19
知本老爺大酒店,Scenery,182,5096,0.81,5100,21053031,10962745,37091228,4131,4128,2/1/2019,Feb-19
碧特弗⼤飯店,Others,54,1512,0.32,2317,1116573,165137,1281710,738.66,482,2/1/2019,Feb-19
礁溪老爺大酒店,Scenery,193,5404,0.77,8784,36567706,21520027,69139419,6767.19,4163,2/1/2019,Feb-19
神旺⼤飯店,Taipei,268,7504,0.89,2432,16295375,36102676,56815308,2171.53,6700,2/1/2019,Feb-19
福容大飯店(台北一館),Taipei,120,3360,0.56,3149,5907054,11824177,19071996,1758.09,1876,2/1/2019,Feb-19
福容大飯店(林口),Taoyuan-Hsinchu-Miaoli,149,4172,0.6,2430,6057768,4630653,10739154,1452.17,2493,2/1/2019,Feb-19
福容大飯店(桃園),Taoyuan-Hsinchu-Miaoli,182,5096,0.79,1857,7432836,4846203,12895310,1458.3,4002,2/1/2019,Feb-19
福容大飯店(淡水漁人碼頭),Others,198,5544,0.4,5542,12413441,16610076,31352008,2238.97,2240,2/1/2019,Feb-19
福容大飯店(福隆),Scenery,174,4872,0.28,5521,7519118,4562661,12250440,1543.67,1362,2/1/2019,Feb-19
福容大飯店(高雄),Kaohsiung,250,7000,0.61,2614,11168247,4773114,15953361,1595.59,4273,2/1/2019,Feb-19
福華大飯店,Taipei,606,16968,0.56,3833,36602000,60398000,115094000,2157.21,9550,2/1/2019,Feb-19
第一⼤飯店,Taipei,176,4928,0.69,1647,5568822,2562781,27662334,1130.34,3382,2/1/2019,Feb-19
綠舞國際觀光飯店,Others,104,2912,0.26,8242,6330158,3144283,10917632,2173.42,768,2/1/2019,Feb-19
美侖⼤飯店,Hualien,343,9604,0.66,2820,17812466,9731885,28694618,1854.43,6316,2/1/2019,Feb-19
