Area,Room,Supply,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Date,Month
Kaohsiung,3149,97619,16008,0.16,2318.27,37110869,93745035,150400373,380.16,3/1/2020,20-Mar
Others,4735,146785,32214,0.22,2964.52,95498999,104598671,228455229,650.6,3/1/2020,20-Mar
Scenery,2864,88784,32099,0.36,4741.59,152200169,67219700,245823526,1714.27,3/1/2020,20-Mar
Taichung,1484,46004,10536,0.23,2264.36,23857269,35520621,73031687,518.59,3/1/2020,20-Mar
Taipei,11259,349029,37835,0.11,3714.46,140536529,467940797,778224388,402.65,3/1/2020,20-Mar
Taoyuan-Hsinchu-Miaoli,3818,118358,17337,0.15,2677.91,46426918,105393113,167361899,392.26,3/1/2020,20-Mar
Hualien,1286,38580,11334,0.29,2908.11,32960575,16172167,55769274,854.34,4/1/2020,20-Apr
Kaohsiung,3149,94470,11651,0.12,2285.91,26633095,65566298,105366528,281.92,4/1/2020,20-Apr
Others,4734,142020,28163,0.2,2961.33,83399879,85961557,194780695,587.24,4/1/2020,20-Apr
Scenery,2864,85920,24085,0.28,5207.22,125415969,51934975,199096704,1459.68,4/1/2020,20-Apr
Taichung,1484,44520,9675,0.22,2269.57,21958113,28110479,64110211,493.22,4/1/2020,20-Apr
Taipei,11259,337770,29447,0.09,3271,96320992,385070249,629115519,285.17,4/1/2020,20-Apr
Taoyuan-Hsinchu-Miaoli,3818,114540,15422,0.13,2548.95,39309975,98110291,151392696,343.2,4/1/2020,20-Apr
Hualien,1286,39866,19633,0.49,2434.19,47790479,29761842,86785896,1198.78,5/1/2020,20-May
Kaohsiung,3149,97619,16442,0.17,2203.08,36223038,104371823,160976700,371.07,5/1/2020,20-May
Others,4734,146754,44115,0.3,2968.11,130937962,165643273,361500227,892.23,5/1/2020,20-May
Scenery,2862,88722,35473,0.4,4903.54,173943451,75105422,280460145,1960.54,5/1/2020,20-May
Taichung,1484,46004,12186,0.26,2270.57,27669186,51985241,100261328,601.45,5/1/2020,20-May
Taipei,11259,349029,43264,0.12,2949.82,127620805,681251915,1019423373,365.65,5/1/2020,20-May
Taoyuan-Hsinchu-Miaoli,3635,112685,17611,0.16,2685.16,47288371,120619616,194060640,419.65,5/1/2020,20-May
Hualien,1286,38580,28101,0.73,2942.15,82677486,42394265,139692424,2143.01,6/1/2020,20-Jun
Kaohsiung,3149,94470,34855,0.37,2424.09,84491722,130378404,248301616,894.38,6/1/2020,20-Jun
