Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
義華酒店,Taipei,149,4619,0.28,4040,5179280,155842,8504417,1121.3,1282,7/1/2019
老爺大酒店,Taipei,202,6262,0.9,4519.35,25421332,20960974,52918728,4059.62,5625,7/1/2019
耐斯王⼦⼤飯店,Others,245,7595,0.68,2109.94,10946382,14823927,26955307,1441.26,5188,7/1/2019
花蓮亞士都飯店,Hualien,167,5177,0.46,1023.41,2461290,850000,3325150,475.43,2405,7/1/2019
花蓮翰品酒店,Hualien,197,6107,0.84,2998.2,15434724,11096053,27470076,2527.38,5148,7/1/2019
華園大飯店,Kaohsiung,269,8339,0.78,1415.89,9244332,2519765,12568813,1108.57,6529,7/1/2019
華泰王子大飯店,Taipei,202,6262,0.75,2607.84,12272506,9518465,24060459,1959.84,4706,7/1/2019
華王大飯店,Kaohsiung,297,9207,0.29,1442.66,3896621,1639294,5543305,423.22,2701,7/1/2019
蘭城晶英酒店,Others,193,5983,0.88,9758.08,51376296,38168775,100218458,8587.05,5265,7/1/2019
裕元花園酒店,Taichung,149,4619,0.77,3151.71,11235859,26260338,42536054,2432.53,3565,7/1/2019
豐邑喜來登大飯店,Taoyuan-Hsinchu-Miaoli,384,11904,0.21,3659.67,9006449,5056451,15320641,756.59,2461,7/1/2019
豪景⼤酒店,Taipei,209,6479,0.74,2056.9,9815542,728580,10835635,1514.98,4772,7/1/2019
趣淘漫旅,Scenery,198,6138,0.67,3032.08,12519464,6008509,20823993,2039.67,4129,7/1/2019
遠百企業觀光旅館,Others,40,1240,0.06,1000,70000,0,70000,56.45,70,7/1/2019
遠雄悅來大飯店,Hualien,381,11811,0.64,3991.36,30226541,16506196,57298768,2559.19,7573,7/1/2019
鈺通⼤飯店,Others,120,3720,0.32,1624.32,1905324,3225323,5149454,512.18,1173,7/1/2019
長榮桂冠酒店(台中),Taichung,354,10974,0.67,2296.54,16953042,20075137,41696220,1544.84,7382,7/1/2019
長榮鳳凰酒店(礁溪),Others,231,7161,0.8,5757.27,32902804,21374788,61020891,4594.72,5715,7/1/2019
阿里山賓館,Scenery,35,1085,0.44,6326.37,3017680,0,3017680,2781.27,477,7/1/2019
阿里山賓館(新館),Scenery,102,3162,0.74,6264.19,14733378,7716914,23097219,4659.51,2352,7/1/2019
陸島酒店,Others,47,1457,0.46,1636.96,1085304,102000,1206554,744.89,663,7/1/2019
陽明⼭中國麗緻⼤飯店,Scenery,47,1457,0.31,4092.2,1825120,1561206,5205114,1252.66,446,7/1/2019
雲品溫泉酒店⽇⽉潭,Scenery,211,6541,0.72,8559.62,40409983,22563479,67424058,6177.95,4721,7/1/2019
首都大飯店,Taipei,129,3999,0.66,2950.16,7812013,2224781,10667056,1953.49,2648,7/1/2019
香格⾥拉台北遠東國際⼤飯店,Taipei,420,13020,0.69,5873.29,52524823,46231520,114964508,4034.16,8943,7/1/2019
香格里拉台南遠東國際大飯店,Others,333,10323,0.74,3533.26,27075370,22470289,55828094,2622.82,7663,7/1/2019
馥藝⾦鬱⾦香酒店,Taoyuan-Hsinchu-Miaoli,191,5921,0.7,1881.9,7815537,4254588,12318621,1319.97,4153,7/1/2019
⾼雄國賓⼤飯店,Kaohsiung,453,14043,0.89,1959.91,24538051,37183058,63694888,1747.35,12520,7/1/2019
高雄圓山大飯店,Scenery,107,3317,0.56,2436.31,4538845,8358344,13682410,1368.36,1863,7/1/2019
⾼雄福華⼤飯店,Kaohsiung,271,8401,0.81,2188.84,14884101,16691505,35015124,1771.71,6800,7/1/2019
麒麟⼤飯店,Others,167,5177,0.42,4051.58,8755454,2324988,11330662,1691.22,2161,7/1/2019
麗尊⼤酒店,Kaohsiung,198,6138,0.73,2180.21,9834917,14886894,26040126,1602.3,4511,7/1/2019
龍⾕⼤飯店,Scenery,189,5859,0.17,2213.66,2244652,699295,3336819,383.11,1014,7/1/2019
⻄華⼤飯店,Taipei,343,10633,0.76,4275.12,34645584,19946397,59412788,3258.31,8104,8/1/2019
⻑榮桂冠酒店(基隆),Others,140,4340,0.77,3112.89,10437522,6555719,20292003,2404.96,3353,8/1/2019
三德⼤飯店,Taipei,287,8897,0.42,1922.95,7241836,991201,11975299,813.96,3766,8/1/2019
亞士都飯店,Taipei,40,1240,0.46,2216.02,1263131,0,1263131,1018.65,570,8/1/2019
亞都麗緻⼤飯店,Taipei,209,6479,0.74,3934.99,18872213,11881848,35610155,2912.83,4796,8/1/2019
兄弟大飯店,Taipei,250,7750,0.61,3406.38,16190515,41551998,62490482,2089.1,4753,8/1/2019
全國⼤飯店,Taichung,178,5518,0.63,2044.45,7086076,11514267,20736406,1284.17,3466,8/1/2019
六福客棧,Taipei,230,7130,0.81,1367.52,7886511,8456857,16863307,1106.1,5767,8/1/2019
凱撒⼤飯店,Scenery,281,8711,0.96,6818.01,57066750,8941619,68692193,6551.11,8370,8/1/2019
北投老爺酒店,Taipei,50,1550,0.46,4683.95,3311550,2716646,6779063,2136.48,707,8/1/2019
北投麗禧溫泉酒店,Taipei,66,2046,0.5,13638.52,14020399,5405187,22476061,6852.59,1028,8/1/2019
南方莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,3441,0.77,4142.5,11002492,9830925,26363197,3197.47,2656,8/1/2019
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,7905,0.88,2922.98,20221192,20559803,42819235,2558.03,6918,8/1/2019
台中港酒店,Taichung,200,6200,0.6,2707.18,10032813,3747326,14657735,1618.2,3706,8/1/2019
台中福華大飯店,Taichung,155,4805,0.72,2720.6,9454078,9403753,21276616,1967.55,3475,8/1/2019
台中金典酒店,Taichung,222,6882,0.78,3037.3,16228283,18726129,49656309,2358.08,5343,8/1/2019
台北W飯店,Taipei,405,12555,0.85,8155.37,86659009,50044761,153952443,6902.35,10626,8/1/2019
台北中山雅樂軒酒店,Taipei,88,2728,0.83,4216.89,9542833,806908,11566555,3498.11,2263,8/1/2019
台北凱撒大飯店,Taipei,478,14818,0.97,3972.83,57081649,15758034,75285865,3852.18,14368,8/1/2019
台北君品大酒店,Taipei,286,8866,0.84,4746.68,35486189,46543798,85615913,4002.5,7476,8/1/2019
台北君悅酒店,Taipei,850,26350,0.7,5724.04,105946277,96190271,227865602,4020.73,18509,8/1/2019
台北寒舍喜來登大飯店,Taipei,688,21328,0.72,5094.48,78215599,98520110,198320079,3667.27,15353,8/1/2019
台北寒舍艾美酒店,Taipei,160,4960,0.79,8075.94,31463866,44198007,88757360,6343.52,3896,8/1/2019
台北有園飯店,Taipei,56,1736,0.85,2584.59,3814860,406699,4299888,2197.5,1476,8/1/2019
台北美福⼤飯店,Taipei,146,4526,0.54,5808.15,14212553,59514163,78338156,3140.2,2447,8/1/2019
台北花園⼤酒店,Taipei,241,7471,0.95,2374.3,16833757,17657762,37836664,2253.21,7090,8/1/2019
台北華國⼤飯店,Taipei,326,10106,0.78,2850.12,22350609,9110060,33446686,2211.62,7842,8/1/2019
台北萬豪酒店,Taipei,318,9858,0.81,5449.9,43294038,43281169,112189272,4391.77,7944,8/1/2019
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,15996,0.69,2840.71,31222204,12680148,49069926,1951.88,10991,8/1/2019
台南大員皇冠假日酒店,Others,231,7161,0.55,3136.55,12270200,14564048,29514143,1713.48,3912,8/1/2019
